Domain;Area;Element;Item;Year;Yield
Crops and livestock products;China;Yield;Seed cotton, unginned;1991;26038
Crops and livestock products;China;Yield;Seed cotton, unginned;1992;19786
Crops and livestock products;China;Yield;Seed cotton, unginned;1993;22502
Crops and livestock products;China;Yield;Seed cotton, unginned;1994;23558
Crops and livestock products;China;Yield;Seed cotton, unginned;1995;26381
Crops and livestock products;China;Yield;Seed cotton, unginned;1996;26702
Crops and livestock products;China;Yield;Seed cotton, unginned;1997;30748
Crops and livestock products;China;Yield;Seed cotton, unginned;1998;30281
Crops and livestock products;China;Yield;Seed cotton, unginned;1999;30833
Crops and livestock products;China;Yield;Seed cotton, unginned;2000;32791
Crops and livestock products;China;Yield;Seed cotton, unginned;2001;33204
Crops and livestock products;China;Yield;Seed cotton, unginned;2002;35247
Crops and livestock products;China;Yield;Seed cotton, unginned;2003;28525
Crops and livestock products;China;Yield;Seed cotton, unginned;2004;33323
Crops and livestock products;China;Yield;Seed cotton, unginned;2005;33865
Crops and livestock products;China;Yield;Seed cotton, unginned;2006;34799
Crops and livestock products;China;Yield;Seed cotton, unginned;2007;38595
Crops and livestock products;China;Yield;Seed cotton, unginned;2008;39061
Crops and livestock products;China;Yield;Seed cotton, unginned;2009;38634
Crops and livestock products;China;Yield;Seed cotton, unginned;2010;36935
Crops and livestock products;China;Yield;Seed cotton, unginned;2011;39237
Crops and livestock products;China;Yield;Seed cotton, unginned;2012;43770
Crops and livestock products;China;Yield;Seed cotton, unginned;2013;43561
Crops and livestock products;China;Yield;Seed cotton, unginned;2014;43898
Crops and livestock products;China;Yield;Seed cotton, unginned;2015;44679
Crops and livestock products;China;Yield;Seed cotton, unginned;2016;47478
Crops and livestock products;China;Yield;Seed cotton, unginned;2017;35357
Crops and livestock products;China;Yield;Seed cotton, unginned;2018;55131
Crops and livestock products;China;Yield;Seed cotton, unginned;2019;68129
Crops and livestock products;China;Yield;Seed cotton, unginned;2020;55110
Crops and livestock products;China;Yield;Seed cotton, unginned;2021;57349
